0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.380000000000000071e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01
0.000000000000000000e+00,3.000000000000000000e+00,2.280000000000000071e+01
0.000000000000000000e+00,4.000000000000000000e+00,1.559999999999999964e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.980000000000000071e+01
1.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+00,2.219999999999999929e+01
1.000000000000000000e+00,4.000000000000000000e+00,1.619999999999999929e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,2.639999999999999858e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.700000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.460000000000000142e+01
2.000000000000000000e+00,4.000000000000000000e+00,1.980000000000000071e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000142e+01
3.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000000e+01
3.000000000000000000e+00,2.000000000000000000e+00,3.300000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,3.300000000000000000e+01
3.000000000000000000e+00,4.000000000000000000e+00,2.100000000000000000e+01
4.000000000000000000e+00,0.000000000000000000e+00,9.300000000000000711e+00
4.000000000000000000e+00,1.000000000000000000e+00,1.319999999999999929e+01
4.000000000000000000e+00,2.000000000000000000e+00,2.280000000000000071e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.160000000000000142e+01
4.000000000000000000e+00,4.000000000000000000e+00,2.580000000000000071e+01
